School Name,Type,City,State,Country,Address,ZIP,Phone,CEEB Code,Federal School Code,Website,Notes
Poly High School,High School,Riverside,CA,USA,5450 Victoria Ave,92506,(951) 788-7275,052543,,,California High School
Pomona College,University,Claremont,CA,USA,333 N College Way,91711,(909) 621-8000,001173,001173,,California University
Poway High School,High School,Poway,CA,USA,15500 Espola Rd,92064,(858) 679-2500,052570,,,California High School
Rancho Bernardo High School,High School,San Diego,CA,USA,13010 Paseo Lucido,92128,(858) 485-0990,052625,,,California High School
Rancho Cucamonga High School,High School,Rancho Cucamonga,CA,USA,11801 Lark Dr,91701,(909) 484-5000,052630,,,California High School
Rio Americano High School,High School,Sacramento,CA,USA,4540 American River Dr,95864,(916) 971-7465,052650,,,California High School
Roosevelt High School,High School,Los Angeles,CA,USA,456 S Mathews St,90033,(323) 267-4100,052670,,,California High School
Roosevelt High School,High School,Fresno,CA,USA,6365 N Palm Ave,93704,(559) 457-2700,052672,,,California High School
Saddleback College,Community College,Mission Viejo,CA,USA,28000 Marguerite Pkwy,92692,(949) 582-4500,008918,008918,,California Community College
San Diego Mesa College,Community College,San Diego,CA,USA,7250 Mesa College Dr,92111,(619) 388-2600,001275,001275,,California Community College
San Diego State University,University,San Diego,CA,USA,5500 Campanile Dr,92182,(619) 594-5200,001302,001302,,California University
San Fernando High School,High School,San Fernando,CA,USA,11133 O'Melveny Ave,91340,(818) 365-4631,052750,,,California High School
San Francisco State University,University,San Francisco,CA,USA,1600 Holloway Ave,94132,(415) 338-1111,001304,001304,,California University
San Jose State University,University,San Jose,CA,USA,One Washington Square,95192,(408) 924-1000,001155,001155,,California University
San Mateo High School,High School,San Mateo,CA,USA,506 N Delaware St,94401,(650) 558-2299,052780,,,California High School
Santa Ana High School,High School,Santa Ana,CA,USA,520 W Walnut St,92701,(714) 558-5515,052800,,,California High School
Santa Barbara City College,Community College,Santa Barbara,CA,USA,721 Cliff Dr,93109,(805) 965-0581,001285,001285,,California Community College
Santa Clara University,University,Santa Clara,CA,USA,500 El Camino Real,95053,(408) 554-4000,001326,001326,,California University
Santa Margarita Catholic High School,High School,Rancho Santa Margarita,CA,USA,22062 Antonio Pkwy,92688,(949) 766-6000,052835,,,California High School
Santa Monica College,Community College,Santa Monica,CA,USA,1900 Pico Blvd,90405,(310) 434-4000,001286,001286,,California Community College
Scripps College,University,Claremont,CA,USA,1030 Columbia Ave,91711,(909) 621-8000,001174,001174,,California University
Scripps Ranch High School,High School,San Diego,CA,USA,10410 Treena St,92131,(858) 537-1500,052860,,,California High School
Sequoia High School,High School,Redwood City,CA,USA,1201 Brewster Ave,94062,(650) 369-1411,052865,,,California High School
Servite High School,High School,Anaheim,CA,USA,1952 W La Palma Ave,92801,(714) 774-7575,052870,,,California High School
Skyline High School,High School,Oakland,CA,USA,12250 Skyline Blvd,94619,(510) 686-4540,052910,,,California High School
Sonoma State University,University,Rohnert Park,CA,USA,1801 E Cotati Ave,94928,(707) 664-2880,001156,001156,,California University
South San Francisco High School,High School,South San Francisco,CA,USA,400 B St,94080,(650) 877-8900,052945,,,California High School
Stanford University,University,Stanford,CA,USA,450 Serra Mall,94305,(650) 723-2300,001305,001305,,California University
Taft High School,High School,Woodland Hills,CA,USA,5461 Winnetka Ave,91364,(818) 609-6100,052975,,,California High School
Torrey Pines High School,High School,San Diego,CA,USA,3710 Del Mar Heights Rd,92130,(858) 755-0125,053005,,,California High School
Troy High School,High School,Fullerton,CA,USA,2200 E Dorothy Ln,92831,(714) 626-4483,053015,,,California High School
Universal Technical Institute,Trade School,Rancho Cucamonga,CA,USA,9494 Haven Ave,91730,(909) 484-1929,,,,California Trade School
University High School,High School,Los Angeles,CA,USA,11800 Texas Ave,90025,(310) 914-3500,053035,,,California High School
"University of California, Berkeley",University,Berkeley,CA,USA,200 California Hall,94720,(510) 642-6000,001312,001312,https://berkeley.edu,California University
"University of California, Davis",University,Davis,CA,USA,One Shields Avenue,95616,(530) 752-1011,001313,001313,https://ucdavis.edu,California University
"University of California, Irvine",University,Irvine,CA,USA,Campus Drive,92697,(949) 824-5011,001314,001314,https://uci.edu,California University
"University of California, Los Angeles",University,Los Angeles,CA,USA,405 Hilgard Avenue,90095,(310) 825-4321,001315,001315,https://ucla.edu,California University
"University of California, Merced",University,Merced,CA,USA,5200 North Lake Road,95343,(209) 228-4400,001348,001348,https://ucmerced.edu,California University
"University of California, Riverside",University,Riverside,CA,USA,900 University Avenue,92521,(951) 827-1012,001316,001316,https://ucr.edu,California University
"University of California, San Diego",University,La Jolla,CA,USA,9500 Gilman Drive,92093,(858) 534-2230,001317,001317,https://ucsd.edu,California University
"University of California, San Francisco",University,San Francisco,CA,USA,505 Parnassus Avenue,94143,(415) 476-9000,001319,001319,https://ucsf.edu,California University
"University of California, Santa Barbara",University,Santa Barbara,CA,USA,Santa Barbara,93106,(805) 893-8000,001320,001320,https://ucsb.edu,California University
"University of California, Santa Cruz",University,Santa Cruz,CA,USA,1156 High Street,95064,(831) 459-0111,001321,001321,https://ucsc.edu,California University
University of San Diego,University,San Diego,CA,USA,5998 Alcala Park,92110,(619) 260-4600,001395,001395,,California University
University of San Francisco,University,San Francisco,CA,USA,2130 Fulton St,94117,(415) 422-5555,001325,001325,,California University
University of Southern California,University,Los Angeles,CA,USA,University Park,90089,(213) 740-2311,001328,001328,,California University
University of the Pacific,University,Stockton,CA,USA,3601 Pacific Ave,95211,(209) 946-2344,001329,001329,,California University
Venice High School,High School,Los Angeles,CA,USA,13000 Venice Blvd,90066,(310) 577-4200,053060,,,California High School
Washington High School,High School,Fremont,CA,USA,38442 Fremont Blvd,94536,(510) 657-1016,053115,,,California High School
Washington Prep High School,High School,Los Angeles,CA,USA,10860 S Denker Ave,90047,(323) 753-7141,053120,,,California High School
Westmoor High School,High School,Daly City,CA,USA,131 Westmoor Ave,94015,(650) 550-7900,053175,,,California High School
WyoTech,Trade School,Long Beach,CA,USA,200 Whitney Pl,90802,(562) 624-9530,,,,California Trade School
