School Name,Type,City,State,Country,Address,ZIP,Phone,CEEB Code,Federal School Code,Website,Notes
San Diego Mesa College,Community College,San Diego,CA,USA,7250 Mesa College Dr,92111,(619) 388-2600,001275,001275,,California Community College
Glendale Community College,Community College,Glendale,CA,USA,1500 N Verdugo Rd,91208,(818) 240-1000,001203,001203,,California Community College
Universal Technical Institute,Trade School,Rancho Cucamonga,CA,USA,9494 Haven Ave,91730,(909) 484-1929,,,,California Trade School
Paul Mitchell The School,Trade School,Costa Mesa,CA,USA,3333 Bristol St,92626,(714) 754-7277,,,,California Trade School
Bellus Academy,Trade School,Poway,CA,USA,13266 Poway Rd,92064,(858) 748-1490,,,,California Trade School
Marinello Schools of Beauty,Trade School,Los Angeles,CA,USA,Multiple Locations,90001,(877) 835-9998,,,,California Trade School
WyoTech,Trade School,Long Beach,CA,USA,200 Whitney Pl,90802,(562) 624-9530,,,,California Trade School
Platt College,Trade School,Ontario,CA,USA,3700 Inland Empire Blvd,91764,(909) 941-9410,,,,California Trade School
California Culinary Academy,Trade School,San Francisco,CA,USA,350 Rhode Island St,94103,(415) 771-3500,,,,California Trade School
Fashion Institute of Design & Merchandising,Trade School,Los Angeles,CA,USA,919 S Grand Ave,90015,(213) 624-1200,013112,013112,,California Trade School
